Date,Open,High,Low,Close,Adj Close,Volume
2020-05-21,52.099998,52.209999,50.689999,50.750000,49.716782,7842600
2020-05-22,50.840000,50.860001,49.610001,49.799999,48.786125,12462300
2020-05-26,51.299999,51.400002,50.790001,50.820000,49.785358,8872000
2020-05-27,51.029999,51.740002,50.750000,51.740002,50.686630,11405700
2020-05-28,51.459999,51.619999,50.099998,50.279999,49.256351,8178700
2020-05-29,50.340000,50.730000,49.860001,50.330002,49.305336,10918500
2020-06-01,50.910000,51.279999,50.540001,51.029999,49.991081,6187300
2020-06-02,51.450001,52.040001,51.290001,52.009998,50.951130,6063600
2020-06-03,52.639999,53.250000,52.419998,53.060001,51.979759,8380200
2020-06-04,53.060001,54.369999,53.029999,54.279999,53.174915,13269500
2020-06-05,55.500000,56.340000,55.060001,55.200001,54.076187,9776100
2020-06-08,55.740002,55.779999,54.709999,55.570000,54.438656,6302100
2020-06-09,55.290001,56.630001,54.950001,56.610001,55.457481,9355100
2020-06-10,56.820000,58.040001,56.820000,57.549999,56.378345,9194300
2020-06-11,55.849998,56.410000,55.009998,55.040001,53.919445,9877100
2020-06-12,56.500000,56.869999,55.349998,56.000000,54.859898,9838800
2020-06-15,54.709999,56.119999,54.520000,56.020000,54.879490,7509700
2020-06-16,56.590000,57.000000,55.540001,55.799999,54.663967,8827200
2020-06-17,56.150002,56.820000,55.889999,56.599998,55.447681,8248700
2020-06-18,56.040001,56.540001,55.790001,56.150002,55.418076,6831500
2020-06-19,56.480000,56.500000,55.270000,55.310001,54.589027,6965100
2020-06-22,55.500000,56.000000,55.320000,56.000000,55.270027,4480400
2020-06-23,56.639999,57.160000,56.529999,56.759998,56.020123,7836500
2020-06-24,56.709999,57.060001,56.160000,56.580002,55.842468,7080200
2020-06-25,56.560001,57.090000,55.950001,57.040001,56.296474,4509600
2020-06-26,57.000000,57.259998,56.209999,56.330002,55.595730,6229300
2020-06-29,56.340000,56.410000,55.660000,56.389999,55.654945,5016600
2020-06-30,56.250000,56.990002,56.189999,56.770000,56.029991,7158700
2020-07-01,56.970001,57.470001,56.759998,56.820000,56.079338,6866500
2020-07-02,57.950001,59.070000,57.950001,58.619999,57.855873,10021200
2020-07-06,60.669998,62.130001,60.560001,61.880001,61.073387,12725600
2020-07-07,61.259998,61.500000,60.680000,60.709999,59.918633,6672300
2020-07-08,61.639999,62.740002,61.500000,62.590000,61.774132,8721900
2020-07-09,62.950001,64.970001,62.889999,64.779999,63.935577,16903300
2020-07-10,64.470001,64.559998,63.189999,63.849998,63.017700,10700000
2020-07-13,65.199997,67.080002,64.980003,65.070000,64.221802,16667700
2020-07-14,66.000000,67.029999,65.330002,66.959999,66.087166,10482700
2020-07-15,67.180000,67.209999,65.160004,66.059998,65.198891,12432500
2020-07-16,65.379997,66.629997,64.320000,66.589996,65.721985,15709400
2020-07-17,67.309998,68.000000,66.370003,66.400002,65.534470,11716600
2020-07-20,66.699997,66.980003,65.800003,66.889999,66.018074,6357300
2020-07-21,68.839996,69.250000,67.709999,67.809998,66.926079,10619700
2020-07-22,68.099998,68.900002,68.029999,68.529999,67.636696,7366100
2020-07-23,68.260002,68.500000,66.750000,67.370003,66.491821,8559500
2020-07-24,71.400002,76.889999,71.349998,73.900002,72.936699,41226800
2020-07-27,81.360001,83.400002,80.430000,83.250000,82.164818,39899200
2020-07-28,79.349998,79.580002,76.489998,76.919998,75.917336,31500100
2020-07-29,77.110001,83.370003,77.059998,82.669998,81.592377,28304000
2020-07-30,80.010002,81.279999,78.610001,79.930000,78.888100,16820300
2020-07-31,79.629997,79.769997,77.510002,78.889999,77.861649,12021200
2020-08-03,77.769997,79.150002,77.410004,78.949997,77.920868,10129800
2020-08-04,79.330002,80.190002,78.739998,80.190002,79.144707,12569400
2020-08-05,80.980003,84.000000,80.570000,81.629997,80.565933,14436300
2020-08-06,82.040001,82.099998,80.220001,80.519997,79.470406,9838700
2020-08-07,80.489998,80.790001,79.410004,80.029999,78.986786,8705800
2020-08-10,80.550003,80.849998,79.220001,79.870003,78.828888,7421400
